,Company,Major,City,State,Accept,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
64,NICEPAK,ME,Mooresville,IN,A,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
65,EQUIPMENT TECHNOLOGIES,ME,Mooresville,IN,R,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
66,XWIND,ME,Brownsburg,IN,O,"('Brownsburg', 'IN')",39.8433769,-86.39777350000001,Hendricks,55.5860511357713,27.142439617529337
67,HARRISON STEEL CASTING COMPANY,ME,Attica,IN,R,"('Attica', 'IN')",40.2942039,-87.24889879999999,Fountain,56.39855992459038,85.61402904486373
68,TRI STAR ENGINEERING,CPE,Bedford,IN,R,"('Bedford', 'IN')",38.8611619,-86.4872149,Lawrence,62.16283003944438,-43.1434543247299
69,SCIENTIA,CPE,Bedford,IN,R,"('Bedford', 'IN')",38.8611619,-86.4872149,Lawrence,62.16283003944438,-43.1434543247299
70,ENVIROX,BE,Champaign,IL,A,"('Champaign', 'IL')",40.1164204,-88.2433829,Champaign,65.39063555478558,137.47227235935884
71,EXACTTARGET,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
72,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
73,BELCAN,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
74,MEDIVATIVE TECHNOLOGIES,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
75,INTERACTIVE INTELLIGENCE,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
76,JANSSEN AND SPAANS ENGINEERING,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
77,ROCHE DIAGNOSTICS,BE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
78,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
79,SOFTWARE ENGINEERING PROFESSIONALS,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
80,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
81,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
82,UNITED CONSULTING,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
83,MOBI,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
84,SOFTWARE ENGINEERING PROFESSIONALS,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
85,SOFTWARE ENGINEERING PROFESSIONALS,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
86,SOFTWARE ENGINEERING PROFESSIONALS,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
87,SOFTWARE ENGINEERING PROFESSIONALS,SE CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
88,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
89,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
90,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
91,RIETH RILEY CONSTRUCTION,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
92,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
93,GPD,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
94,INFODYNAMICS,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
95,"HANNUM, WAGLE, CLINE",CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
