,Company,Major,City,State,Accept,CityState,lats,lons,County
125,APPARATUS,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
126,ARCELOR MITTAL,ME,Burns Harbor,IN,R,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,Porter
127,ARCELOR MITTAL,CPE,Burns Harbor,IN,R,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,Porter
128,BABCOCK & WILCOX,ME,Charlotte,NC,R,"('Charlotte', 'NC')",35.2270869,-80.8431267,Mecklenburg
129,BASTIAN SOLUTIONS,ME,Greenfield,IN,R,"('Greenfield', 'IN')",39.785043,-85.7694226,Hancock
130,BASTIAN SOLUTIONS,ME,St. Louis,MO,R,"('St. Louis', 'MO')",38.6270025,-90.19940419999999,St Louis
131,BLACKBAUD,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
132,BMW,ME,Spartanburg,SC,R,"('Spartanburg', 'SC')",34.9495672,-81.9320482,Spartanburg
133,BOOZ ALLEN HAMILTON,EE,Annapolis Junction,MD,R,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,Anne Arundel
134,BOOZ ALLEN HAMILTON,CPE,Annapolis Junction,MD,R,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,Anne Arundel
135,CATERPILLAR,EE,Peoria,IL,R,"('Peoria', 'IL')",40.6936488,-89.5889864,Peoria
136,CH2M HILL,CHE,Bellingham,WA,R,"('Bellingham', 'WA')",48.7595529,-122.4882249,Whatcom
137,CNI,CHE,Louisville,KY,R,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
138,CORNERSTONE CONTROLS,CHE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
139,CUMMINS,ME,Seymour,IN,R,"('Seymour', 'IN')",38.9592201,-85.8902547,Jackson
140,DELPHI,SE,Kokomo,IN,R,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
141,DELPHI,ME,Kokomo,IN,R,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
142,DELPHI,CPE,Kokomo,IN,R,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
143,DUPONT,ME,El Paso,TX,R,"('El Paso', 'TX')",31.7699559,-106.4968055,El Paso
144,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
145,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
146,DWYER INSTRUMENTS,CHE,Michigan City,IN,R,"('Michigan City', 'IN')",41.70753939999999,-86.8950297,Laporte
147,EDGILE,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
148,ELI LILLY,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
149,ENOVA,CS,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
150,EPIC SYSTEMS,CS,Madison,WI,R,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
151,EPIC SYSTEMS,BE,Madison,WI,R,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
152,EPIC SYSTEMS,BE,Madison,WI,R,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
153,EXPEDIA,CS,Bellevue,WA,R,"('Bellevue', 'WA')",47.610377,-122.2006786,King
154,FEDERAL MOGUL,ME,Southfield,MI,R,"('Southfield', 'MI')",42.4733688,-83.2218731,Oakland
155,FEDERAL MOGUL,ME,Southfield,MI,R,"('Southfield', 'MI')",42.4733688,-83.2218731,Oakland
156,FORD,ME,Dearborn,MI,R,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
157,FORD,ME,Dearborn,MI,R,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
