,City,State,Major,Salary,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
108,Indianapolis,IN,ME,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
109,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
110,Indianapolis,IN,SE CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
111,Indianapolis,IN,CE,45006,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
112,Indianapolis,IN,CE,53520,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
113,Indianapolis,IN,ME,58500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
114,Indianapolis,IN,ME,58500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
115,Indianapolis,IN,ME,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
116,Indianapolis,IN,EE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
117,Indianapolis,IN,ME,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
118,Indianapolis,IN,ME,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
119,Indianapolis,IN,CS,75000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
120,Indianapolis,IN,SE,66000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
121,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
122,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
123,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
124,Indianapolis,IN,ME,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
125,Indianapolis,IN,ME,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
126,Indianapolis,IN,CS,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
127,Indianapolis,IN,CE,44000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
128,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
129,Indianapolis,IN,SE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
130,Indianapolis,IN,ME,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
131,Indianapolis,IN,CS,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
132,Indianapolis,IN,CE,47000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
133,Indianapolis,IN,ME,47840,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
134,Indianapolis,IN,CHE,62400,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
135,Indianapolis,IN,CE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
136,Indianapolis,IN,CS,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
137,Indianapolis,IN,ME,45000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
138,Indianapolis,IN,BE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
139,Indianapolis,IN,CE,47840,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
140,Indianapolis,IN,CE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
141,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
142,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
143,Indianapolis,IN,CE,50400,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
144,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
145,Indianapolis,IN,CS,45000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
146,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
147,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
148,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
149,Indianapolis,IN,SE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
