,City,State,Major,Salary,CityState,lats,lons,County
138,Greenville,SC,ME,64500,"('Greenville', 'SC')",34.85261759999999,-82.3940104,Greenville
139,Charlotte,NC,EE,68000,"('Charlotte', 'NC')",35.2270869,-80.8431267,Mecklenburg
140,Louisville,KY,ME EE,67100,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
141,Indianapolis,IN,BE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
142,Warren,MI,OE,63000,"('Warren', 'MI')",42.49299999999999,-83.02819699999999,Macomb
143,Zeeland,MI,CHE,44000,"('Zeeland', 'MI')",42.8125246,-86.01865099999999,Ottawa
144,Seattle,WA,CS,103000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
145,Brazil,IN,ME,52000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay
146,Brazil,IN,ME,52000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay
147,Chicago,IL,CS,105000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
148,Raleigh,NC,EE,62400,"('Raleigh', 'NC')",35.7795897,-78.6381787,Wake
149,Raleigh,NC,EE,62400,"('Raleigh', 'NC')",35.7795897,-78.6381787,Wake
150,Greensburg,IN,ME,54486,"('Greensburg', 'IN')",39.3372722,-85.483581,Decatur
151,Greensburg,IN,ME,54486,"('Greensburg', 'IN')",39.3372722,-85.483581,Decatur
152,Rocky Mt.,NC,CHE,60000,"('Rocky Mt.', 'NC')",35.9382103,-77.7905339,Edgecombe
153,Rocky Mt.,NC,CHE,60000,"('Rocky Mt.', 'NC')",35.9382103,-77.7905339,Edgecombe
154,Sullivan,IL,ME,58000,"('Sullivan', 'IL')",39.599479,-88.6078392,Moultrie
155,Chino,CA,ME,66000,"('Chino', 'CA')",34.0122346,-117.688944,San Bernardino
156,Indianapolis,IN,CPE,69000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
157,Indianapolis,IN,CPE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
158,Indianapolis,IN,BE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
159,Indianapolis,IN,SE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
160,Charlotte,NC,ME,35000,"('Charlotte', 'NC')",35.2270869,-80.8431267,Mecklenburg
161,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
162,Indianapolis,IN,CHE,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
163,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
164,Portland,OR,EE,67000,"('Portland', 'OR')",45.5234515,-122.6762071,Multnomah
165,Indianapolis,IN,SE,62500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
166,Indianapolis,IN,CS,75000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
167,Texarkana,TX,ME,67000,"('Texarkana', 'TX')",33.425125,-94.04768820000001,Bowie
168,Texarkana,TX,CHE,67000,"('Texarkana', 'TX')",33.425125,-94.04768820000001,Bowie
169,Courtland,AL,CHE,67000,"('Courtland', 'AL')",34.6689794,-87.3094649,Lawrence
170,Shreveport,LA,CHE,65000,"('Shreveport', 'LA')",32.5251516,-93.7501789,Caddo
171,San Mateo,CA,CS,115000,"('San Mateo', 'CA')",37.5629917,-122.3255254,San Mateo
172,Chicago,IL,CE,48000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
173,Lexington,KY,CPE,68000,"('Lexington', 'KY')",38.0405837,-84.5037164,Fayette
174,Vernon Hills,IL,CE,47500,"('Vernon Hills', 'IL')",42.23933230000001,-87.9653565,Lake
175,Robinson,IL,CHE,83000,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford
176,Canton,OH,CHE,83000,"('Canton', 'OH')",40.79894729999999,-81.378447,Stark
177,Robinson,IL,CHE,83000,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford
178,Houston,TX,EE,78000,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
179,Colorado Springs,CO,EE,67000,"('Colorado Springs', 'CO')",38.8338816,-104.8213634,El Paso
180,Cincinnati,OH,CE,50500,"('Cincinnati', 'OH')",39.1031182,-84.5120196,Hamilton
181,Redmond,WA,SE,102000,"('Redmond', 'WA')",47.6739881,-122.121512,King
182,Mountain View,CA,SE,107000,"('Mountain View', 'CA')",37.3860517,-122.0838511,Santa Clara
183,Terre Haute,IN,CHEM,42000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
184,Boston,MA,OE,67000,"('Boston', 'MA')",42.3584308,-71.0597732,Suffolk
185,Columbus,OH,CE,48500,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
186,Columbus,OH,CE,52000,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
187,Houston,TX,CHE,60000,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
188,Marshall Space Flight Center,AL,CS,45192,"('Marshall Space Flight Center', 'AL')",34.6465571,-86.67574549999999,Madison
189,Austin,TX,CS,62000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
190,Austin,TX,EE,61000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
191,Austin,TX,ME,60000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
192,Austin,TX,BE,60000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
193,Austin,TX,CPE,60000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
194,Austing,TX,EE,61000,"('Austing', 'TX')",30.267153,-97.7430608,Travis
195,Austin,TX,CPE,60000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
196,Austin,TX,CPE,62000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
197,Austin,TX,BE,60000,"('Austin', 'TX')",30.267153,-97.7430608,Travis
198,Fort Meade,MD,CS,71000,"('Fort Meade', 'MD')",39.1137602,-76.7267773,Anne Arundel
199,Crane,IN,ME,58500,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin
200,Crane,IN,ME,58500,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin
201,Mooresville,IN,CE,50000,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan
202,Cincinnati,OH,CPE,64000,"('Cincinnati', 'OH')",39.1031182,-84.5120196,Hamilton
203,Baltimore,MD,CS,62000,"('Baltimore', 'MD')",39.2903848,-76.6121893,US
204,Fort Meade,MD,PHY,56426,"('Fort Meade', 'MD')",39.1137602,-76.7267773,Anne Arundel
