Pittsburgh,PA,CE,57000
,,CS,70000
,,CS,65000
Decatur,IL,CHE,63000
Decatur,IL,CHE,63000
Galesburg,IL,ME,60000
Whitehall,MI,CHE,66000
Morristown ,IN,ME,60000
traveling,,CE,65000
Whitehall,MI,ME,60000
Indianapolis,IN,ME,62000
Akron,OH,CHE,63000
,,SE,87000
Arlington,VA,CPE,67000
Burns Harbor,IN,CE,55900
Gary,IN,CHE,63000
Chicago,IL,CS,60000
Burns Harbor ,IN,EE,67000
,,EE,62200
Burns Harbor,IN,ME,60600
,,SE,60000
Austin,TX,SE,58000
St. Louis,IN,ME,58000
Bloomington,IN,CHE,55000
Pittsburgh,PA,ME,57600
Indianapolis,IN,CPE,62000
Indianapolis,IN,EE,62000
Indianapolis,in,SE,65000
Greenfield,IN,ME,58000
Spencer,IN,BE,52500
Spencer,IN,ME,53788
,,ME,60000
Mt. Vernon,IN,CHE,62000
Hillard,OH,ME,55000
,,EE,56000
Downers Grove,IL,CHE,59600
Peoria,IL,EE,62700
Peoria ,IL,ME,62000
Peoria ,IL,ME,63000
Lafayette,IN,ME,61800
Lafayette,IN,ME,62700
,,EE,52500
,,ME,68000
Auburn Hills,MI,ME,61000
Bloomington,IN,BE,55000
Columbus,IN,EE,70000
Columbus,IN,ME,60000
Columbus,IN,ME,60000
Columbus ,IN,ME,60000
Seymour,IN,ME,60000
Columbus ,IN,ME,60000
Columbus ,IN,ME,60500
Columbus ,IN,ME,65000
Columbus,IN,EE,61000
Columbus,IN,ME,60000
,,ME,70000
Petaluma,CA,SE,81000
Petaluma,CA,SE,81000
Inidianapolis,IN,CS,55500
Kokomo,IN,ME,63000
Freeport,TX,CHE,66000
Midland ,MI,CHE,63000
Chicago,IL,ME,59500
Inidianapolis,IN,CHE,63000
Indianapolis,IN,CHE,63000
Clinton,IN,CHE,60999
Indianapolis,IN,CHE,60999
Inidianapolis,IN,ME,60999
Inidianapolis,IN,CHE,60000
Chicago,IL,SE,75000
